10101010101,01010101011,0000,0011
111010101010,001110101010,0001,00010
11100111001010,00011100011010,0010,001010
1101100101010101,0101010101010101,0011,1010111
10101010101,01010101011,0000,0011
111010101010,001110101010,0001,00010
11100111001010,00011100011010,0010,001010
1101100101010101,0101010101010101,0011,1010111
10101010101,01010101011,0000,0011
111010101010,001110101010,0001,00010
11100111001010,00011100011010,0010,001010
1101100101010101,0101010101010101,0011,1010111
10101010101,01010101011,0000,0011
111010101010,001110101010,0001,00010
11100111001010,00011100011010,0010,001010
